;id_professor;nome;anoconclusao;tipo;departamento
11732;e607573f-977e-46d6-b59c-36dae83683f2;BRAZILIAN TRAVESTIS MAKING LIVES LIVABLE IN THEIR PROCESSES OF AGEING AND DEATH;2015;RESUMO;Departamento de Geociências
11733;e607573f-977e-46d6-b59c-36dae83683f2;GENERO, SEXUALIDADES E ESPACO: UMA ANALISE INTERSECCIONAL DE IMIGRANTES BRASILEIROS EM BRIGHTON- REINO UNIDO;2017;COMPLETO;Departamento de Geociências
11734;e607573f-977e-46d6-b59c-36dae83683f2;PRATICAS ESPACIAIS D E SOBREVIVENCIA REAL IZADAS POR  TRAVESTIS E MULHERES TRANS LATINO - AMERICANAS NA CIDADE DE BARCELONA, ESPANH A;2017;COMPLETO;Departamento de Geociências
11735;e607573f-977e-46d6-b59c-36dae83683f2;GEOGRAFIAS FEMINISTAS NA AMERICA LATINA E A LUTA POR UM LUGAR DE ENUNCIACAO: O CASO DO BRASIL;2019;COMPLETO;Departamento de Geociências
11736;e607573f-977e-46d6-b59c-36dae83683f2;PRIVILEGE IN THE PRODUCTION OF GEOGRAPHIES OF SEXUALITIES / QUEER GEOGRAPHIES - PANEL DISCUSSANT;2015;RESUMO;Departamento de Geociências
11737;2d436817-02eb-4c5a-9945-68067add2ad8;UM MODELO PRATICO PARA AVALIACAO DA QUALIDADE EM EMPRESAS DE CONSTRUCAO CIVIL;1996;COMPLETO;Departamento de Engenharia Civil
11738;2d436817-02eb-4c5a-9945-68067add2ad8;ANALISE ERGONOMICA DO OPERADOR DE GUINCHO DA CONSTRUCAO CIVIL;1996;COMPLETO;Departamento de Engenharia Civil
11739;e607573f-977e-46d6-b59c-36dae83683f2,3500ec17-38b8-4ffc-90c4-84a5f40ada50;DAMN GEOGRAPHIES: SCIENCE, LGBT ACTIVISM AND HETEROQUEER EXPERIENCE;2013;RESUMO;Departamento de Geociências
11740;2d436817-02eb-4c5a-9945-68067add2ad8;SUPERANDO AS FRONTEIRAS DO TREINAMENTO TRADICIONAL ATRAVES DA DISSEMINACAO DOS CONCEITOS DE QUALIDADE DE VIDA NO TRABALHO - UM ESTUDO DE CASO NO AASENTAMENTO DE CERAMICA;1997;COMPLETO;Departamento de Engenharia Civil
11741;67210ff1-4258-411f-88a1-0765c7a614b4,2d436817-02eb-4c5a-9945-68067add2ad8;AVALIACAO DE PRODUTIVIDADE E DE PERDAS NA CONSTRUCAO CIVIL - SIMULACAO UTILIZANDO MODELO REDUZIDO PARA DEMONSTRAR AS VANTAGENS DO USO DA LINHA DE BALANCO NA PROGRAMACAO DA OBRA E DE INOVACOES TECNOLOGICAS NO CANTEIRO;1998;COMPLETO;Departamento de Engenharia Civil
11742;2d436817-02eb-4c5a-9945-68067add2ad8;CURRICULAR STRUCTURE ADAPTATION TO A NEW REALITY AND TO NEW MARKET REQUIREMENTS - A CASE STUDY IN A CIVIL ENGINEERING COURSE IN PARANA STATE, BRAZIL, WITH A FOCUSED SIGHT TOWARDS SOUTH AMERICA AND MERCOSUL;1999;COMPLETO;Departamento de Engenharia Civil
11743;2d436817-02eb-4c5a-9945-68067add2ad8;HYPERTEXTS DEVELOPMENT AS A SUPPORT TO THE TEACHING-APPRENTICESHIP PROCESS - A CASE STUDY IN CIVIL CONSTRUCTION MATTER CONTENTS IN A CIVIL ENGINEERING COURSE;1999;COMPLETO;Departamento de Engenharia Civil
11744;2d436817-02eb-4c5a-9945-68067add2ad8;SIMULATING BUILDING EQUIPMENTS WITH A REDUCED MODEL, FOR APPLICATION OF BUILDING SITES PROGRAMMING, CONTROL AND MANAGEMENT;1999;COMPLETO;Departamento de Engenharia Civil
11745;2d436817-02eb-4c5a-9945-68067add2ad8;A ELABORACAO DE MANUAIS DE PROCEDIMENTOS PADRONIZADOS PARA A MELHORIA DA QUALIDADE E PRODUTIVIDADE - ACAO DE UMA EMPRESA DE CONSTRUCAO CIVIL NUM AMBIENTE DE COMPETITIVIDADE E GLOBALIZACAO;1999;COMPLETO;Departamento de Engenharia Civil
11746;2d436817-02eb-4c5a-9945-68067add2ad8;A MELHORIA DAS CONDICOES DE TRABALHO DO PEDREIRO ASSENTADOR DE ALVENARIA DE TIJOLOS CERAMICOS POR MEIO DE UM ESTUDO ERGONOMICO SIMPLIFICADO;1999;COMPLETO;Departamento de Engenharia Civil
11747;2d436817-02eb-4c5a-9945-68067add2ad8;THE INFLUENCE OF WORK ORGANIZATION IN THE CORRECT POSTURES MAINTENANCE IN CIVIL CONSTRUCTION TASKS;2000;COMPLETO;Departamento de Engenharia Civil
11748;2d436817-02eb-4c5a-9945-68067add2ad8;THE NATIONAL COURSES EXAMINATION IN BRAZIL - SOME CONSIDERATIONS AND A STUDY OF THE PERFORMANCE OF A CIVIL ENGINEERING COURSE;2000;COMPLETO;Departamento de Engenharia Civil
11749;2d436817-02eb-4c5a-9945-68067add2ad8;COGNITIVE AND ENVIRONMENTAL ANALYSIS OF THE ENGINEERING TEACHING - A CASE STUDY IN FOUR SUBJECTS IN A CIVIL ENGINEERING COURSE;2000;COMPLETO;Departamento de Engenharia Civil
11750;2d436817-02eb-4c5a-9945-68067add2ad8;A INTER-RELACAO ENTRE OS CONCEITOS DE ERGONOMIA, SEGURANCA E ORGANIZACAO DO TRABALHO NA EXECUCAO DE ESTRUTURAS DE CONCRETO ARMADO;2001;COMPLETO;Departamento de Engenharia Civil
11751;2d436817-02eb-4c5a-9945-68067add2ad8;A CRIACAO E A MANUTENCAO DE AMBIENTES ADEQUADOS E DE UMA MENTALIDADE DE SEGURANCA NO TRABALHO NOS CANTEIROS DE OBRAS COM A APLICACAO DAS NR 17 E 18;2002;COMPLETO;Departamento de Engenharia Civil
11752;2d436817-02eb-4c5a-9945-68067add2ad8;ERGONOMICS USED AS A TOOL TO TEACH WORKERS - THE CARPENTERSPERCEPTION OF A SUITABLE WORK ENVIRONMENT;2003;COMPLETO;Departamento de Engenharia Civil
11753;2d436817-02eb-4c5a-9945-68067add2ad8;EDUCATION FOR WORK WITH THE HELP OF ERGONOMICS - THE CARPENTERSIDENTIFICATION OF AWKWARD SITUATIONS;2003;COMPLETO;Departamento de Engenharia Civil
11754;2d436817-02eb-4c5a-9945-68067add2ad8;ERGONOMIC CONCEPTS AS A PART OF A PROCEDURES HANDBOOK FOR CERAMIC TILES SETTING: THE LABORER ANT AND THE VISUAL REINFORCEMENT;2003;COMPLETO;Departamento de Engenharia Civil
11755;2d436817-02eb-4c5a-9945-68067add2ad8;UMA ACAO ERGONOMICA CONSCIENTIZADORA - ESTUDO DE CASO DE EDUCACAO PARA O TRABALHO DE CARPINTEIROS NA CONSTRUCAO DE EDIFICIOS;2002;COMPLETO;Departamento de Engenharia Civil
11756;2d436817-02eb-4c5a-9945-68067add2ad8;A PERCEPCAO DOS CARPINTEIROS SOBRE A ORGANIZACAO DO SEU TRABALHO CONSTATADA POR MAPAS COGNITIVOS;2003;COMPLETO;Departamento de Engenharia Civil
11757;2d436817-02eb-4c5a-9945-68067add2ad8;O RECONHECIMENTO PELOS CARPINTEIROS DE SITUACOES INADEQUADAS VERIFICADO EM MATRIZES DE CONTEUDOS;2003;COMPLETO;Departamento de Engenharia Civil
11758;2d436817-02eb-4c5a-9945-68067add2ad8;O DETALHAMENTO DOS PERFIS DO TERRENO NO PROJETO ARQUITETONICO COMO FATOR DE CONSTRUTIBILIDADE E DE PRECISAO NA PREVISAO DE CUSTOS DOS SERVICOS INICIAIS DA CONSTRUCAO;2004;COMPLETO;Departamento de Engenharia Civil
11759;2d436817-02eb-4c5a-9945-68067add2ad8;TREINAMENTO DE ASSENTADORES DE AZULEJOS E PISOS CERAMICOS COM ARGAMASSA COLANTE VISANDO A EXCELENCIA DO PRODUTO FINAL;2005;COMPLETO;Departamento de Engenharia Civil
11760;2d436817-02eb-4c5a-9945-68067add2ad8;A IMPORTANCIA DO TERRENO NO PROJETO E A INFLUENCIA NA CONSTRUTIBILIDADE DOS SERVICOS INICIAIS DA CONSTRUCAO;2004;RESUMO;Departamento de Engenharia Civil
11761;2d436817-02eb-4c5a-9945-68067add2ad8;TIJOLO SOBRE TIJOLO: O QUE PODE SER FEITO PARA SE OTIMIZAR O ARTESANATO DAS ALVENARIAS DA CONSTRUCAO CIVIL?;2004;RESUMO;Departamento de Engenharia Civil
